

=== PERIOD 1400D ===
Period,Date,Index,Type,Price,Qty,Reason,PnL_Trade,Equity
1400,2023-01-04 04:00:00,2245,BUY,16869.44,1.760442,Buy 4H,0.00,148910.68
1400,2023-04-10 00:00:00,2820,SELL,29637.34,4.413623,TP After,56474.95,261602.98
1400,2023-04-10 00:00:00,2820,SELL,29637.34,4.413623,TP Fixed,56474.95,261589.90
1400,2023-04-11 00:00:00,2826,BUY,30200.42,8.660931,Buy 1D,0.00,261563.74
1400,2023-04-17 00:00:00,2862,SELL,29430.27,8.660931,SL UP Full,-6670.22,254868.04
1400,2023-04-17 00:00:00,2862,SHORT,29430.27,8.660064,Short on Stop (SL UP),0.00,254842.55
1400,2023-05-17 20:00:00,3047,COVER_SHORT,27405.61,8.660064,Buy Signal Trigger,0.00,272352.50
1400,2023-05-17 20:00:00,3047,BUY,27405.61,3.974738,Buy 4H,0.00,272341.61
1400,2023-05-24 00:00:00,3084,SELL,26329.01,3.974738,SL DOWN Full,-4279.20,268051.94
1400,2023-05-24 00:00:00,3084,SHORT,26329.01,10.180859,Short on Stop (SL DOWN),0.00,268025.14
1400,2023-05-28 16:00:00,3112,COVER_SHORT,28065.00,10.180859,Buy Signal Trigger,0.00,250322.69
1400,2023-05-28 16:00:00,3112,BUY,28065.00,3.567399,Buy 4H,0.00,250312.68
1400,2023-05-31 00:00:00,3126,SELL,27210.35,3.567399,SL DOWN Full,-3048.88,247254.10
1400,2023-05-31 00:00:00,3126,SHORT,27210.35,9.086766,Short on Stop (SL DOWN),0.00,247229.37
1400,2023-06-04 08:00:00,3152,COVER_SHORT,27179.00,9.086766,Buy Signal Trigger,0.00,247489.54
1400,2023-06-04 08:00:00,3152,BUY,27179.00,3.642000,Buy 4H,0.00,247479.64
1400,2023-06-05 00:00:00,3156,SELL,25728.20,3.642000,SL DOWN Full,-5283.81,242186.46
1400,2023-06-05 00:00:00,3156,SHORT,25728.20,9.413269,Short on Stop (SL DOWN),0.00,242162.24
1400,2023-06-16 16:00:00,3226,COVER_SHORT,26345.00,9.413269,Buy Signal Trigger,0.00,236331.34
