time,open,high,low,close,4H BUY,8H BUY,1D BUY,SL HIT (UP),SL HIT (DOWN),TP HIT,EMA TP HIT,EMA,EMA,MA200,MA50,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Net Change,SMA Net New Highs,52-week High of Net New Highs,156-week High of Net New Highs,New Highs & New Lows,New Highs & New Lows,New Highs,New Lows,Accumulation/Distribution,S6OH · INDEX: close,Index,Index
1498829400,92.81,92.86,92.56,92.77,0,0,0,0,0,0,0,92.67436831605878,92.72182885027414,92.70980000000036,91.32662499999996,50.630601466545244,49.03712825470162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22192407.931756105,NaN,NaN,NaN
1498843800,92.77,92.98,92.73,92.73,0,0,0,0,0,0,0,92.71555040274777,92.72260705500993,92.72420000000037,91.34717499999996,50.16648636589847,49.504573023067074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22188729.931756105,NaN,NaN,NaN
1499088600,93.13,93.38,93.08,93.15,0,0,0,0,0,0,0,92.88646234869469,92.76331114500898,92.74720000000036,91.36947499999997,54.846801682195874,49.938128274027974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22183961.398422774,NaN,NaN,NaN
1499261400,92.97,92.97,92.67,92.92,0,0,0,0,0,0,0,92.87793655804033,92.77823389310336,92.76540000000035,91.39007499999997,51.96836998976171,50.34560444233732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22205671.398422774,NaN,NaN,NaN
1499275800,92.94,92.98,92.82,92.95,0,0,0,0,0,0,0,92.89137532141223,92.79459256995067,92.78600000000034,91.40769999999995,52.31986583124142,50.56448594857613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22213224.523422774,NaN,NaN,NaN
1499347800,92.55,92.61,92.16,92.45,0,0,0,0,0,0,0,92.71596671788895,92.76177422995536,92.79800000000036,91.42279999999995,46.245563860330435,50.34948874260702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22216423.967867218,NaN,NaN,NaN
1499362200,92.38,92.39,91.82,91.91,0,0,0,0,0,0,0,92.52580020710509,92.68065287472152,92.80280000000035,91.43294999999995,40.74382477210396,49.38187246618889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22205514.231025115,NaN,NaN,NaN
1499434200,92.08,92.55,92.04,92.53,0,0,0,0,0,0,0,92.48407643312274,92.6663049818909,92.81460000000035,91.44614999999995,48.34262242455815,48.95702745066035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22211780.897691783,NaN,NaN,NaN
1499448600,92.55,92.57,92.43,92.49,0,0,0,0,0,0,0,92.48491526344766,92.64951403123463,92.80840000000035,91.45669999999994,47.91570670428652,48.76020130808183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22210598.897691783,NaN,NaN,NaN
1499693400,92.39,92.64,92.39,92.61,0,0,0,0,0,0,0,92.49654805378296,92.64575079016467,92.80360000000033,91.46839999999995,49.36050508027359,49.24814309181428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22213983.93769178,NaN,NaN,NaN
