

=== PERIOD 1400D ===
Period,Date,Index,Type,Price,Qty,Reason,PnL_Trade,Equity
1800,2022-08-14 00:00:00,3600,SHORT,1935.86,107.286221,Short on Stop (SL UP),0.00,207670.33
1800,2022-09-08 00:00:00,3750,COVER_SHORT,1635.57,107.286221,Buy Signal Trigger,0.00,239869.77
1800,2022-09-08 00:00:00,3750,BUY,1635.57,146.643543,Buy 1D,0.00,239845.78
1800,2022-09-13 00:00:00,3780,SELL,1574.54,146.643543,SL DOWN Full,-8949.66,230873.03
1800,2022-09-13 00:00:00,3780,SHORT,1574.54,146.628878,Short on Stop (SL DOWN),0.00,230849.95
1800,2022-10-26 00:00:00,4038,COVER_SHORT,1566.29,146.628878,Buy Signal Trigger,0.00,232036.67
1800,2022-10-26 00:00:00,4038,BUY,1566.29,148.129315,Buy 1D,0.00,232013.46
1800,2022-10-27 00:00:00,4044,SELL,1514.01,148.129315,SL UP Full,-7744.20,224246.84
1800,2022-10-27 00:00:00,4044,SHORT,1514.01,148.114502,Short on Stop (SL UP),0.00,224224.41
1800,2022-10-29 00:00:00,4056,COVER_SHORT,1620.51,148.114502,Buy Signal Trigger,0.00,208426.22
1800,2022-10-29 00:00:00,4056,BUY,1620.51,128.604806,Buy 1D,0.00,208405.37
1800,2022-10-31 00:00:00,4068,SELL,1572.93,128.604806,SL UP Full,-6119.02,202266.13
1800,2022-10-31 00:00:00,4068,SHORT,1572.93,128.591945,Short on Stop (SL UP),0.00,202245.90
1800,2023-01-09 00:00:00,4488,COVER_SHORT,1320.46,128.591945,Buy Signal Trigger,0.00,234694.53
1800,2023-01-09 00:00:00,4488,BUY,1320.46,177.719174,Buy 1D,0.00,234671.06
1800,2023-04-16 00:00:00,5070,SELL,2120.30,88.859587,TP After,71073.45,376799.12
1800,2023-07-03 00:00:00,5538,BUY,1956.25,96.292040,Buy 1D,0.00,362202.87
1800,2023-07-05 00:00:00,5550,SELL,1910.37,185.151627,SL UP Full,48001.28,353672.74
1800,2023-07-05 00:00:00,5550,SHORT,1910.37,185.133111,Short on Stop (SL UP),0.00,353637.37
1800,2023-10-23 00:00:00,6210,COVER_SHORT,1766.27,185.133111,Buy Signal Trigger,0.00,380282.36
1800,2023-10-23 00:00:00,6210,BUY,1766.27,215.280975,Buy 1D,0.00,380244.33
1800,2024-02-18 00:00:00,6918,SELL,2880.56,107.640488,TP After,119942.72,620098.76
1800,2024-02-18 00:00:00,6918,BUY,2880.56,107.618961,Buy 1D,0.00,620067.76
1800,2024-03-11 00:00:00,7050,SELL,4064.55,215.259448,TP Fixed,374807.75,874845.30
1800,2024-05-21 00:00:00,7476,BUY,3789.83,230.817164,Buy 1D,0.00,874757.81
1800,2024-06-07 00:00:00,7578,SELL,3677.81,230.817164,SL UP Full,-25856.14,848816.78
1800,2024-06-07 00:00:00,7578,SHORT,3677.81,230.794082,Short on Stop (SL UP),0.00,848731.90
