time,open,high,low,close,EMA,EMA,MA200,MA50,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Net Change,SMA Net New Highs,52-week High of Net New Highs,156-week High of Net New Highs,New Highs & New Lows,New Highs & New Lows,New Highs,New Lows,Accumulation/Distribution,S6OH · INDEX: close,Index,Index
1505347200,3944,3993,3165.13,3189.02,3508.7808894865148,4176.1720267788805,NaN,NaN,28.40697210452545,48.93623670207315,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,430.61864725373334,52.33,NaN,NaN
1505433600,3188.01,3856,2817,3700,3538.158426561946,4130.822309942797,NaN,NaN,40.94284848077143,46.812192622786675,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1808.2567027725015,54.5,NaN,NaN
1505520000,3674.01,3950,3470.66,3714.95,3670.037534790294,4091.2154232815783,NaN,NaN,41.266881305284876,45.910918424611104,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1833.2692010528865,NaN,NaN,NaN
1505606400,3685.23,3748.21,3499.02,3699.99,3660.703356757424,4053.9558591595232,NaN,NaN,41.024313634242155,44.90866611343267,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2251.4306534687125,NaN,NaN,NaN
1505692800,3690,4123.2,3690,4035.01,3949.897238504328,4052.151491620521,NaN,NaN,48.34670776409878,45.34342848665393,NaN,NaN,NaN,NaN,138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2862.063750821207,58.83,NaN,NaN
1505779200,4060,4089.97,3830.91,3910.04,3924.808794615939,4038.617063847138,NaN,NaN,46.049880555729544,45.03604913127243,NaN,NaN,NaN,NaN,107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2510.9671762701387,58.16,NaN,NaN
1505865600,3910.04,4046.08,3820,3900,3954.874454547408,4025.415438718839,NaN,NaN,45.86137631324213,44.270059858938055,NaN,NaN,NaN,NaN,110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2300.24800685188,60.16,NaN,NaN
1505952000,3889.99,3910,3567,3609.99,3735.9072134321978,3985.8511112218066,NaN,NaN,40.68113886414492,43.01954869790436,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1549.6791069402752,59.5,NaN,NaN
1506038400,3592.84,3750,3505.55,3595.87,3609.5390985500794,3948.710053010206,NaN,NaN,40.441621200314316,42.518886013253905,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1330.6795259247285,62.5,NaN,NaN
1506124800,3595.88,3817.19,3542.91,3780,3732.5093812867544,3932.642428913996,NaN,NaN,44.99003872007041,42.38217980112812,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1879.3279104985215,NaN,NaN,NaN
1506211200,3779.54,3789.99,3622.76,3660.02,3680.667410213142,3906.6783880650437,NaN,NaN,42.70164348785554,42.29080782249164,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1512.5258431846414,NaN,NaN,NaN
1506297600,3660.02,3979.87,3653.69,3920.75,3857.7636926520213,3908.0185415826586,NaN,NaN,48.796721480872286,42.47790571046773,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1976.6230306922132,64.5,NaN,NaN
1506384000,3928,3976.99,3850.05,3882.35,3902.9591434634076,3905.573918574786,NaN,NaN,47.98709177258222,42.68509126325068,NaN,NaN,NaN,NaN,105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1717.9478872419204,66.83,NaN,NaN
1506470400,3882.36,4249.94,3872.81,4193,4096.661337620382,3932.9478310914733,NaN,NaN,54.55605240332149,43.71809200621825,NaN,NaN,NaN,NaN,219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2156.4333081829773,72,NaN,NaN
1506556800,4192.11,4300,4101,4174.5,4164.9548272597885,3955.952799558952,NaN,NaN,54.11771350211416,45.55457353461744,NaN,NaN,NaN,NaN,171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1934.3788513990576,72,NaN,NaN
1506643200,4178.98,4263.86,3952.01,4174.69,4150.283576660394,3976.784913886671,NaN,NaN,54.12179049630811,46.49592653572721,NaN,NaN,NaN,NaN,194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2620.363619791391,72.33,NaN,NaN
1506729600,4175,4380,4138.1,4378.51,4310.247462921647,4015.0444458974644,NaN,NaN,58.39289697478122,47.71921336926266,NaN,NaN,NaN,NaN,194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3331.842670979321,NaN,NaN,NaN
1506816000,4378.49,4406.52,4240.04,4378.48,4326.479663869211,4049.6573558119917,NaN,NaN,58.39203529343338,48.959764916347744,NaN,NaN,NaN,NaN,194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3813.9233462796506,NaN,NaN,NaN
1506902400,4400,4561.63,4360,4380,4403.341497041026,4081.1185600203735,NaN,NaN,58.42551029562982,49.67967938288567,NaN,NaN,NaN,NaN,243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3288.2575241915683,77.16,NaN,NaN
1506988800,4380,4467.33,4180.8,4310,4290.255631275326,4102.9167923993855,NaN,NaN,56.18372603879984,50.403525488819255,NaN,NaN,NaN,NaN,253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3182.0007209696014,77.96,NaN,NaN
1507075200,4314.9,4373,4142,4208.59,4216.971450659586,4112.980907408968,NaN,NaN,53.01036475202059,50.91416752016058,NaN,NaN,NaN,NaN,184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2814.237707204148,76.12,NaN,NaN
1507161600,4208.59,4355,4110,4292.43,4278.317005039093,4130.071297179543,4159.1842,NaN,55.260236863335365,51.9555316629599,NaN,NaN,NaN,NaN,175,78.64,NaN,NaN,NaN,NaN,NaN,NaN,3195.4114098599866,77.53,NaN,NaN
1507248000,4318.99,4417,4292,4369,4355.082126295509,4152.826411733872,4160.8626,NaN,57.272369602911866,53.15772797743115,NaN,NaN,NaN,NaN,141,82.66,NaN,NaN,NaN,NaN,NaN,NaN,3312.9261786919865,77.03,NaN,NaN
1507334400,4369,4479.5,4312.56,4423,4369.104676995993,4178.557229663979,4167.1552,NaN,58.68362291953968,54.1358411345361,NaN,NaN,NaN,NaN,141,86.82,NaN,NaN,NaN,NaN,NaN,NaN,3409.082936509166,NaN,NaN,NaN
1507420800,4425,4658,4425,4640,4543.111693032507,4222.504160172171,4177.1556,NaN,63.85071849268287,55.64648934916662,NaN,NaN,NaN,NaN,141,90.98,NaN,NaN,NaN,NaN,NaN,NaN,3847.4392231529428,NaN,NaN,NaN
1507507200,4640,4889.98,4550,4786.95,4701.323138687096,4276.260906822441,4191.1688,NaN,66.87214553327274,56.93759106719522,NaN,NaN,NaN,NaN,136,95.04,NaN,NaN,NaN,NaN,NaN,NaN,4102.084626936695,75.5,NaN,NaN
1507593600,4786.95,4960,4680.59,4783.06,4830.181479615288,4324.527487125066,4206.51,NaN,66.71318518250699,58.27516916790414,NaN,NaN,NaN,NaN,145,99.14,NaN,NaN,NaN,NaN,NaN,NaN,3824.039011406437,75.16,NaN,NaN
1507680000,4783.06,4881.61,4710,4821.43,4819.920998297407,4371.851535970298,4222.1386,NaN,67.53299417028444,59.202093579830056,NaN,NaN,NaN,NaN,133,101.88,NaN,NaN,NaN,NaN,NaN,NaN,4049.0448767114935,74.16,NaN,NaN
1507766400,4821.43,5439.99,4810.16,5430,5212.777859846743,4472.627580163603,4248.4584,NaN,77.14673039812321,60.84702335811642,NaN,NaN,NaN,NaN,122,104.62,NaN,NaN,NaN,NaN,NaN,NaN,5285.245754404999,73.5,NaN,NaN
1507852800,5439.99,5846.17,5379.84,5649.98,5615.688492643182,4584.756382052784,4275.1378,NaN,79.50871225114575,62.66037491203339,NaN,NaN,NaN,NaN,93,106.4,NaN,NaN,NaN,NaN,NaN,NaN,5583.346353763818,72.95,NaN,NaN
1507939200,5650,5900,5580.01,5869.99,5733.421284715192,4707.1595837620425,4306.924,NaN,81.56130291816459,64.31526105084649,NaN,NaN,NaN,NaN,93,107.82,NaN,NaN,NaN,NaN,NaN,NaN,6372.021716083326,NaN,NaN,NaN
1508025600,5855.03,5922.3,5400.01,5709.99,5614.283575069963,4802.667242451372,4334.375,NaN,75.62823515159786,65.54641818357253,NaN,NaN,NaN,NaN,93,109.24,NaN,NaN,NaN,NaN,NaN,NaN,6623.265140304064,NaN,NaN,NaN
