time,open,high,low,close,Plot,Plot,Plot,Plot,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1601510400,359.97112193,370.42066449,345.44308023,352.9444698,360.610628817724,362.6520088136217,337.18731588680134,292.57283520855225,312747.95141264,46.34046191280497,46.21012935723396,NaN,NaN,NaN,NaN
1601596800,352.84860021,354.50070896,334.41250828,345.76079151,359.19635859794073,361.9896081350483,337.35708768132014,293.1020686045866,285407.88764576,44.1431314857223,45.695775057393696,NaN,NaN,NaN,NaN
1601683200,345.73578921,351.15834907,343.91854886,346.34307009,357.97223588289876,361.3760184077915,337.5350279270366,293.6318298133967,143983.57853048,44.37337444007496,45.18533400262887,NaN,NaN,NaN,NaN
1601769600,346.24601381,354.42410463,344.20812305,352.5351354,357.4544167892893,361.0293171133683,337.83205975818436,294.21793235654695,147827.09679284,46.8809248218827,45.11905407928436,NaN,NaN,NaN,NaN
1601856000,352.4766723,356.28669509,348.81977193,353.73569093,357.10025242173793,360.74329255715776,338.1469831477253,294.8101488597654,161142.48433448,47.376238416825444,45.57933782734189,NaN,NaN,NaN,NaN
1601942400,353.81473649,355.0533483,336.92175386,340.96988282,355.56402674538197,359.967864724328,338.20288215113663,295.2694496951906,240763.67802997,42.80555997479574,45.626171093438856,NaN,NaN,NaN,NaN
1602028800,340.88028634,342.87465288,333.16166929,341.70899175,354.24449960296465,359.2518304900407,338.2723100639854,295.73153469076084,215452.72252529,43.14755051637739,46.03612835163211,NaN,NaN,NaN,NaN
1602115200,341.70939206,353.37516325,334.20598452,351.0830829,353.9434122979204,358.931487447294,338.52598873400547,296.28229636448464,240310.81156324,47.4401448533973,46.18012754075414,NaN,NaN,NaN,NaN
1602201600,351.0738285,368.79068515,347.55662933,365.27384883,355.0225014914518,359.18020750151777,339.0556493299658,296.9687794735942,275947.46613857,53.200783072985494,46.68718226372767,NaN,NaN,NaN,NaN
1602288000,365.33217971,380.28494592,365.0063175,370.81068092,356.526137627504,359.636304498321,339.68446183669914,297.70352476161816,226682.39347822,55.26113588779172,47.30427021942889,NaN,NaN,NaN,NaN
1602374400,370.74644561,377.59511825,369.00233133,374.38296852,358.2267881886941,360.2146050481908,340.37156097894274,298.46650430150254,158465.38150828,56.58905610848661,47.943201162083255,NaN,NaN,NaN,NaN
1602460800,374.41199251,395.4827305,365.06250495,386.6882835,360.9374067897709,361.25278851688915,341.2887238011419,299.3443329502438,301157.31061131,60.89483885013735,48.95967854186262,NaN,NaN,NaN,NaN
1602547200,386.75152406,387.76153613,374.63579396,381.33284031,362.8798290297927,362.0402415283837,342.08167660329747,300.16013899362446,201250.19211629,58.18971901320467,49.6530386478447,NaN,NaN,NaN,NaN
1602633600,381.46080708,387.77543522,373.24761957,379.09067088,364.42371872981244,362.70888581668237,342.8145279751134,300.9455174203546,213398.17584803,57.04711072280899,50.263573576949724,NaN,NaN,NaN,NaN
1602720000,379.10192252,382.33230074,369.865915,377.66788285,365.68506769363984,363.29551315132227,343.50469341818047,301.70892404154506,288240.31028633,56.291753567341054,50.974380123702296,NaN,NaN,NaN,NaN
