time,open,high,low,close,EMA,EMA,MA200,MA50,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Net Change,SMA Net New Highs,52-week High of Net New Highs,156-week High of Net New Highs,New Highs & New Lows,New Highs & New Lows,New Highs,New Lows,Accumulation/Distribution,S6OH · INDEX: close,Index,Index
1504252800,4715,4839.92,4708.09,4803.83,4728.886428734846,4510.662515936966,NaN,NaN,72.39989736410773,62.17641333222894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,840.8437432442197,NaN,NaN,NaN
1504281600,4756.46,4885.55,4738.94,4834.91,4772.110620972077,4541.543228704874,NaN,NaN,73.50990819504598,63.89033970142365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,897.7150645572949,NaN,NaN,NaN
1504310400,4796.16,4939.19,4473.35,4697.71,4755.435214934611,4556.416254542505,NaN,NaN,61.711112530326545,64.70502407819068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,885.7964760111847,NaN,NaN,NaN
1504339200,4701.02,4709.4,4354.61,4460.19,4653.228497224422,4547.251849347981,4308.3288,NaN,47.49778123428557,64.00654798917009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,752.3866939698926,NaN,NaN,NaN
1504368000,4465.12,4554.98,4286.87,4472.14,4530.342468183936,4540.098339886269,4310.7718,NaN,48.14488879944939,63.64689395292004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,857.5621045034063,NaN,NaN,NaN
1504396800,4508.5,4714.76,4467.88,4620.87,4577.607312911483,4547.790878944719,4316.142400000001,NaN,55.49687501070745,62.99811692818587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,913.1770147521096,NaN,NaN,NaN
1504425600,4610.52,4674.86,4298.33,4384.15,4507.271662997942,4532.206033330936,4318.1238,NaN,44.64696545762428,61.52712388966689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,764.3592593652344,NaN,NaN,NaN
1504454400,4351.02,4583.84,4345.01,4509.08,4507.77532621777,4530.003553966086,4322.3004,NaN,50.182458982450484,60.64397059265276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,833.6927771501856,NaN,NaN,NaN
1504483200,4505,4527.49,4052,4186.96,4433.175219166808,4497.332739302649,4321.3018,NaN,39.276117393790784,58.99896500807885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,679.2441109992258,NaN,NaN,NaN
1504512000,4102.05,4437.68,4014.76,4015.03,4299.4083898319195,4451.399145083349,4319.435,NaN,34.91446362374158,57.014013176134476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-60.7311181474214,NaN,NaN,NaN
1504540800,4015.03,4300.95,3972.51,4100.11,4208.30473510933,4417.943036027792,4320.7678,NaN,38.55107924371546,55.16137761684489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-126.84393960924162,NaN,NaN,NaN
