time,open,high,low,close,4H BUY,8H BUY,1D BUY,SL HIT (UP),SL HIT (DOWN),TP HIT,EMA TP HIT,EMA,EMA,MA200,MA50,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Net Change,SMA Net New Highs,52-week High of Net New Highs,156-week High of Net New Highs,New Highs & New Lows,New Highs & New Lows,New Highs,New Lows,Accumulation/Distribution,S6OH · INDEX: close,Index,Index
1268231400,41.56,41.89999,41.53999,41.81,0,0,0,0,0,0,0,41.59201458972384,40.38908136129449,39.83145180000001,36.427991249999984,72.41021896617829,62.23937473597844,NaN,NaN,NaN,NaN,231,117.82,256,256,NaN,NaN,NaN,NaN,78931684.71694417,83.83,NaN,NaN
1268317800,41.62,41.95,41.50999,41.92,0,0,0,0,0,0,0,41.683900487777194,40.5348831364093,39.86865180000001,36.48349119999999,73.2151868283066,63.280293874545684,NaN,NaN,NaN,NaN,214,117.78,256,256,NaN,NaN,NaN,NaN,79578615.44749574,83.5,NaN,NaN
1268404200,42.14999,42.16,41.85001,41.94,0,0,0,0,0,0,0,41.819139882214344,40.66870379008461,39.90825160000001,36.54219119999999,73.36733505931471,64.35840063517271,NaN,NaN,NaN,NaN,224,119.32,256,256,NaN,NaN,NaN,NaN,79307601.69889095,84,NaN,NaN
1268659800,41.94,41.9438,41.5799,41.92,0,0,0,0,0,0,0,41.78207533590609,40.7878748576956,39.9472516,36.59864119999999,72.92125061648824,65.87883862107529,NaN,NaN,NaN,NaN,167,120.46,256,256,NaN,NaN,NaN,NaN,79617951.19105913,83,NaN,NaN
1268746200,42.09,42.36501,41.89999,42.35001,0,0,0,0,0,0,0,42.00432417577376,40.93664963315316,40.00365180000001,36.65389124999999,76.26299682553133,67.36412153478688,NaN,NaN,NaN,NaN,201,121.9,256,256,NaN,NaN,NaN,NaN,81052267.38090041,84.17,NaN,NaN
1268832600,42.50999,42.81,42.44,42.69,1,0,0,0,0,0,0,42.3360108061998,41.103635382376666,40.053852000000006,36.70519129999999,78.52009048275983,68.96379906621264,NaN,NaN,NaN,NaN,274,122.82,274,274,NaN,NaN,NaN,NaN,81628473.05657606,86.5,NaN,NaN
1268919000,42.72,42.7394,42.39999,42.5,0,0,0,0,0,0,0,42.42972420626855,41.236622488816984,40.095652,36.75554134999999,74.26989742665663,70.28694260704604,NaN,NaN,NaN,NaN,173,122.12,274,274,NaN,NaN,NaN,NaN,81322526.77063869,85.67,NaN,NaN
1269005400,42.57001,42.57001,41.98,42.16,0,0,0,0,0,0,0,42.27348276742363,41.324563204167745,40.127652000000005,36.807741349999986,67.25439856095774,70.67328727312369,NaN,NaN,NaN,NaN,180,121.96,274,274,NaN,NaN,NaN,NaN,80718143.6358952,83,NaN,NaN
1269264600,42,42.49001,41.82001,42.44,0,0,0,0,0,0,0,42.322216627568615,41.430795279961295,40.16125220000001,36.85809134999999,69.78558278034316,71.17463516432505,NaN,NaN,NaN,NaN,174,123.04,274,274,NaN,NaN,NaN,NaN,81617816.23150714,86.33,NaN,NaN
1269351000,42.53999,42.77,42.33,42.77,1,0,0,0,0,0,0,42.45803156290221,41.55833858663165,40.19865240000001,36.91014134999998,72.4850615725403,71.78952081308393,NaN,NaN,NaN,NaN,249,124.86,274,274,NaN,NaN,NaN,NaN,82276874.23150714,87,NaN,NaN
1269437400,42.61,42.67,42.39,42.45,0,0,0,0,0,0,0,42.47496361780933,41.64325872123816,40.22905260000001,36.96254134999999,66.29927151415394,71.93733201836751,NaN,NaN,NaN,NaN,151,123.9,274,274,NaN,NaN,NaN,NaN,81789210.80293572,85,NaN,NaN
1269523800,42.7,42.86,42.23,42.27,0,0,0,0,0,0,0,42.54260589600462,41.702948366834526,40.26525240000001,37.012441399999986,63.040360070248596,71.45947870035685,NaN,NaN,NaN,NaN,211,126.32,274,274,NaN,NaN,NaN,NaN,80593081.27912623,82.83,NaN,NaN
1269610200,42.41,42.62,42.09,42.34,0,0,0,0,0,0,0,42.44797909100311,41.763619950945525,40.29425240000001,37.06094139999999,63.78586772096656,70.99414599822884,NaN,NaN,NaN,NaN,90,125.96,274,274,NaN,NaN,NaN,NaN,80547974.58101302,81.17,NaN,NaN
1269869400,42.59,42.71001,42.48,42.67999,0,0,0,0,0,0,0,42.534042247993284,41.850893288950715,40.328852200000014,37.112691349999984,67.2420301073228,70.77568203798344,NaN,NaN,NaN,NaN,101,125.22,274,274,NaN,NaN,NaN,NaN,81153793.74304946,82,NaN,NaN
1269955800,42.74001,42.84,42.47,42.71001,0,0,0,0,0,0,0,42.59132019426535,41.932713928098266,40.37365240000001,37.16469139999999,67.53663423579923,70.42756884295636,NaN,NaN,NaN,NaN,117,125.56,274,274,NaN,NaN,NaN,NaN,81324970.29283322,82.5,NaN,NaN
1270042200,42.56,42.77,42.41,42.57001,0,0,0,0,0,0,0,42.62279923454012,41.99340879208891,40.40425280000001,37.22079139999998,64.61801466139764,69.81348511674858,NaN,NaN,NaN,NaN,107,124.8,274,274,NaN,NaN,NaN,NaN,81277684.94733323,80.33,NaN,NaN
