time,open,high,low,close,EMA,Volume,Index,Index
1553558400,3935.47,4048,3894,4027.81,3891.0920548589256,81803.387354,43,43
1553817600,4028.22,4140,4024.03,4103.95,3911.3642401104566,63118.597478,50,50
1554076800,4102.44,5275.01,4067,4932.6,4008.6247886713654,240780.832647,62,62
1554336000,4932.59,5205,4777,5043.89,4107.221475464568,142593.649287,61,61
1554595200,5042.07,5305,5026,5150,4206.533715896514,121860.929897,69,69
1554854400,5150,5422,4861.22,5048.01,4286.674314382561,128046.899771,62,62
1555113600,5047,5167.38,4950,5024.95,4356.986284441365,64631.256122,62,62
1555372800,5024.95,5287,5003.94,5258.44,4442.839019256473,70169.004628,50,50
1555632000,5258.44,5333.42,5165,5256.14,4520.296255517761,69329.715536,61,61
1555891200,5257.41,5600,5208.35,5415,4605.506135944641,119050.108639,61,61
1556150400,5415,5510,5102,5295.69,4671.2379325213415,113971.281396,58,58
1556409600,5295.69,5340,5178.8,5320.81,4733.101938947881,56527.637178,40,40
1556668800,5321.94,5844,5316.2,5772.69,4832.110325714749,86310.4339,51,51
1556928000,5770.62,5900,5587.45,5747.79,4919.317913741916,88761.549091,66,66
1557187200,5749.92,6224.55,5747.74,6209.18,5042.161921956971,90432.127378,69,69
1557446400,6209.95,7521.78,6172,6967.31,5225.509357961069,197595.010522,71,71
1557705600,6968.24,8366,6870,8169.87,5505.924657202872,200272.785147,78,78
1557964800,8169.08,8320,6913,7257.45,5672.736594612123,195437.466934,75,75
1558224000,7257.32,8275.09,7243.08,7904.87,5885.320728458587,183738.402869,70,70
1558483200,7904.48,8130,7461,7964.87,6083.373040033959,145449.964615,69,69
1558742400,7964.52,8908.32,7833.42,8756.32,6337.939417173582,129953.242177,69,69
1559001600,8752.52,9074.26,8005,8269.54,6521.901377442765,135731.415977,71,71
1559260800,8267.1,8814.78,8108.5,8725.98,6731.81362721012,104430.859042,61,61
1559520000,8726,8800.95,7481.02,7776.5,6831.307567475823,168516.5705,66,66
1559779200,7778.08,8100,7444.58,7893.62,6932.480180097173,93223.674039,34,34
1560038400,7895.28,8020,7506.66,7884.9,7023.186829611727,98659.543052,62,62
1560297600,7884.9,8684.41,7788.99,8650,7178.121417267753,111900.093218,60,60
1560556800,8650.88,9444,8567.63,9313.96,7381.534615623204,142976.372632,75,75
1560816000,9312.13,9590,8950,9517.12,7584.923699849566,118258.329878,83,83
1561075200,9518.06,11392.64,9518.06,10906.07,7901.223347482941,212099.187813,84,84
1561334400,10905.95,13970,10620.8,13093.8,8395.75445724647,260307.879319,80,80
1561593600,13098.38,13478.04,10525.1,11903.13,8729.790223222997,339332.09901,92,92
1561852800,11903.13,12180,9727,10842.85,8931.034011487474,285035.837442,78,78
1562112000,10844.98,12000,10796.44,10970.73,9125.29077229819,226862.472764,79,79
1562371200,10982.41,12338.03,10964.51,12238.6,9421.796413031696,142536.659145,72,72
1562630400,12238.6,13147.08,11000,11342.89,9604.757707028677,275194.636398,84,84
1562889600,11342.88,11885,10103,10174.18,9658.988401597375,183085.032065,33,33
1563148800,10174.18,11100,9060,9667.92,9659.839030016672,264084.542462,16,16
1563408000,9668.86,11068.99,9252,10740.23,9762.733408110322,184162.142233,40,40
1563667200,10740.27,10817.9,9822,9864.91,9772.464512099816,126926.613484,42,42
1563926400,9864.78,10175,9525,9824,9777.372653804596,108516.198322,20,20
1564185600,9824,10188.66,9165,9507.64,9751.68382963273,102232.738649,47,47
1564444800,9509.07,10467.86,9402,10374.99,9811.04632204866,113779.360422,22,22
1564704000,10375,11040,10281.35,10929.23,9917.540005663073,116717.508186,61,61
1564963200,10929.99,12330.7,10927.8,11975.03,10113.491433695162,211032.453941,64,64
1565222400,11975.04,12060,11270,11309.31,10227.378916200385,133267.49681,61,61
1565481600,11309.24,11600,10788.45,10892.71,10290.743781324158,77575.863665,45,45
1565740800,10893.36,10897.48,9750,10331.54,10294.629135483761,144384.441537,11,11
1566000000,10331.15,10930,10000,10915.54,10353.763503532928,90329.29559,20,20
1566259200,10914.73,10949.96,9762,10099.88,10329.584122244078,113713.650781,39,39
1566518400,10099.9,10445,9890,10142.69,10311.784682030357,81514.450415,33,33
1566777600,10142.69,10604,9601.01,9721,10255.519474217941,112200.842357,41,41
1567036800,9721,9724,9320,9587.47,10191.895714768612,79497.303088,20,20
1567296000,9588.74,10773,9520,10615.28,10232.218027647792,112284.029717,24,24
1567555200,10611.85,10905.87,10150,10298.73,10238.552501205146,136714.490624,43,43
1567814400,10298.71,10592.5,10068.5,10303.12,10244.701786804655,91458.277018,39,39
1568073600,10302.58,10448.81,9880,10415.01,10260.921616632782,95380.399542,41,41
1568332800,10415.01,10439,10153,10302.01,10264.834796001089,71949.527308,38,38
1568592000,10303.34,10355,10078,10156.99,10254.563863048605,76135.975523,38,38
1568851200,10156.41,10325,9653,9986.39,10229.023495139214,90458.948844,31,31
1569110400,9985.15,10089,7800,8493.14,10063.701257506907,147993.852815,37,37
1569369600,8497.55,8730,7750,8177.91,9884.102090125298,172597.670632,15,15
1569628800,8177.47,8337.26,7710,8289.34,9732.21998630384,121883.303813,32,32
1569888000,8289.97,8500,8060,8223.96,9588.576178084428,100204.088793,38,38
1570147200,8224.43,8232.41,7785,7854.25,9423.402256362102,83060.050017,30,30
1570406400,7855.3,8670,7762,8560.74,9341.243946232378,142693.434098,27,27
1570665600,8562.15,8779.51,8212.38,8300.09,9242.08642754358,110882.564683,41,41
1570924800,8301.98,8451.37,8090,8159.29,9138.962958253715,90424.465682,38,38
1571184000,8159.3,8181.16,7816.01,7947.01,9025.443628896219,95743.72454,40,40
1571443200,7946.89,8333,7866.92,8197.27,8946.569949953722,91363.021581,41,41
1571702400,8197.28,8297.99,7300,7412.41,8800.459478529558,131263.669026,39,39
1571961600,7412.41,10370,7361,9529.93,8869.932861526742,347170.345191,24,24
1572220800,9528.23,9902.1,9001.01,9154.72,8897.055446143242,199574.466203,52,52
1572480000,9154.02,9405,8913,9289.52,8934.433022701029,126893.899845,50,50
1572739200,9289.85,9513.68,9066.14,9308.66,8970.073687205693,119724.708221,56,56
1572998400,9307.73,9440.91,8696,8773.73,8951.374288424198,138560.930468,53,53
1573257600,8773.74,9147.19,8618.68,8733.27,8930.602451431418,108779.564747,38,38
1573516800,8733.36,8888,8567.6,8646.68,8903.562217961759,100645.21535,39,39
1573776000,8646.38,8790,8350.68,8502.4,8865.356292441591,93998.754585,38,38
1574035200,8502.87,8503.52,8003,8098.01,8792.27569316144,119039.982945,38,38
1574294400,8098.56,8134.73,6790,7311.57,8651.256103336542,235471.815275,30,30
1574553600,7311.1,7377.69,6515,7156.14,8508.864093494967,253258.33937,21,21
1574812800,7154.75,7850,6840,7739.68,8435.608465543066,210132.155472,20,20
1575072000,7740.99,7810,7151.1,7294.28,8326.910516443726,154089.031972,38,38
1575331200,7294.42,7750,7067,7389,8237.585705353848,175603.305484,28,28
1575590400,7389,7619.62,7305,7510.11,8168.302304843957,109544.669748,29,29
1575849600,7510.11,7650,7125.66,7210,8077.035418668343,126438.741577,32,32
1576108800,7210,7309.05,7012,7064.05,7980.560616890405,99460.460694,23,23
1576368000,7064.14,7200.3,6560,6623.82,7851.347224805604,124124.841125,21,21
1576627200,6623.84,7440,6435,7187.83,7788.155108157452,183277.769531,15,15
1576886400,7188.01,7695.38,7105,7317.09,7743.291764523408,126656.626381,23,23
1577145600,7317.3,7436.68,7128.86,7202,7691.740167902131,107381.299587,25,25
1577404800,7202,7528.45,7076.42,7388.24,7662.83539000669,91878.790145,38,38
1577664000,7388.43,7408.24,7145.01,7195.23,7618.301543339387,55560.365315,40,40
1577836800,7195.24,7405,6871.04,7344.96,7592.269015402302,117172.372548,37,37
1578096000,7345,7795.34,7272.21,7758,7608.052918697321,122954.755897,38,38
1578355200,7758.9,8455,7723.71,7817.76,7628.025021678528,268033.847131,40,40
1578614400,7817.74,8286.34,7672,8184.98,7681.06835294724,175348.304451,41,41
1578873600,8184.97,8916.48,8055.89,8821.41,7789.672319333217,236375.180031,49,49
1579132800,8820.01,9041.65,8586,8915.96,7896.937812730053,161183.558206,55,55
1579392000,8915.09,9198.98,8466,8736.03,7976.85135437481,146068.216664,53,53
1579651200,8736.04,8818,8238,8439,8020.865511101019,118934.031264,52,52
1579910400,8438.99,9000,8254.9,8907.57,8105.313557662827,110625.186092,41,41
1580169600,8907.57,9578,8862.4,9513.21,8239.39893312351,189075.663146,54,54
1580428800,9511.52,9530.22,9120,9331.51,8343.40951092127,119821.002246,55,55
1580688000,9331.59,9744.45,9093.01,9612.04,8464.231462262102,169070.724332,59,59
1580947200,9612.03,9940,9526.35,9895.05,8600.499894427616,152516.664886,61,61
1581206400,9895.04,10323.59,9700,10223.08,8755.031333053557,165403.955459,56,56
1581465600,10223.08,10500,10080,10344.36,8906.395968000837,187390.902862,61,61
1581724800,10344.36,10375,9452.67,9706,8982.548732953139,187942.214385,64,64
1581984000,9706,10250,9350,9596.42,9041.012663148078,185919.053828,53,53
1582243200,9597.21,9990,9550.21,9936.4,9126.287647610166,104520.40199,44,44
1582502400,9936.4,9990,8633.63,8785.25,9093.807871647294,202306.286154,46,46
1582761600,8786,8971.77,8445,8523.61,9039.50331244279,180386.970774,39,39
1583020800,8523.61,8965.75,8411,8760.07,9012.890616019668,159448.515415,39,39
1583280000,8760.07,9170,8660,9131.88,9024.222938303508,140681.296977,40,40
1583539200,9130.89,9188,7632.01,7929.87,8919.99884894127,239928.382959,38,38
1583798400,7929.87,8149,4410,4800,8527.618006184959,428231.4637,16,16
1584057600,4800.01,5955,3782.13,5361.3,8226.06391035782,679027.956272,10,10
1584316800,5360.33,5525,4442.12,5393.04,7956.25210937136,514494.483972,9,9
1584576000,5393.26,6900,5252.53,6186.98,7787.750003716945,547232.871316,12,12
1584835200,6187.04,6833,5688,6744.72,7688.41381288676,434928.21619,11,11
1585094400,6744.69,6957.96,6261,6359.11,7561.813449754687,298097.258554,13,13
1585353600,6359.11,6599,5857.76,6394.38,7450.629311682812,275360.871135,8,8
1585612800,6394.45,7198,6150.11,6794.09,7388.101758189211,319138.25453,12,12
1585872000,6793.86,7048,6602.1,6772.78,7329.499685980715,226756.495061,14,14
1586131200,6772.78,7459.69,6765,7361.28,7332.5263825539805,297696.315588,12,12
1586390400,7360.26,7371.92,6739.98,6876.83,7289.126727072649,211222.455293,22,22
1586649600,6876.84,7177,6575,6868.7,7249.086086399064,239352.766359,10,10
1586908800,6868.57,7190,6468.27,7027.55,7227.987411503915,240707.752296,18,18
1587168000,7026.78,7293.08,6751,6826.83,7189.781943741637,185302.898119,18,18
1587427200,6828.98,7738,6762,7482.39,7217.649377671005,224369.657703,17,17
1587686400,7483.96,7705,7388,7693.1,7262.9303893213855,154579.163874,20,20
1587945600,7693.1,8952.89,7606,8778.57,7407.277018909825,295290.979728,28,28
1588204800,8778.58,9460,8401,8972.05,7556.3030171088885,356748.116733,44,44
1588464000,8972.58,9200,8522,9021.83,7695.87701547947,251025.343316,45,45
1588723200,9021.36,10067,8906.21,9800.01,7896.270633052854,353763.710198,42,42
1588982400,9800.02,9914.25,8117,8561.52,7959.627715619248,434623.113427,56,56
1589241600,8562.04,9939,8528.78,9791.98,8134.137456988844,308554.431554,39,39
1589500800,9791.97,9888,9150,9680.04,8281.366270608954,244126.153701,44,44
1589760000,9681.11,9950,9326,9511.43,8398.515197217626,235470.102127,50,50
1590019200,9511.43,9578.47,8815,9179.15,8472.861368911186,211398.208959,49,49
